Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Samsung,Galaxy J7 Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,32 GB,Đang cập nhật,"Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",900.000
Xiaomi,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh lá,256 GB,Việt Nam,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",7.000.000
Apple,iPhone 11 Pro Max,Đã sử dụng (chưa sửa chữa),3 tháng,Xám,64 GB,Mỹ,"Phường 5, Quận Tân Bình, Tp Hồ Chí Minh",4.990.000
Apple,iPhone 12 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,256 GB,Nhật Bản,"Xã Võng La, Huyện Đông Anh, Hà Nội",9.900.000
Vertu,Dòng khác,Đã sử dụng (chưa sửa chữa),>12 tháng,Màu khác,512 GB,Nước khác,"Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",17.500.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đỏ,64 GB,Mỹ,"Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",2.300.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,256 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",8.500.000
Samsung,Galaxy S23 Ultra,Đã sử dụng (chưa sửa chữa),3 tháng,Xanh lá,256 GB,Hàn Quốc,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",15.500.000
Realme,GT Neo 2,Mới,3 tháng,Màu khác,128 GB,Nước khác,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",3.450.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,64 GB,Nước khác,"Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",5.900.000
Xiaomi,Redmi Note 10,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,64 GB,Đang cập nhật,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",1.600.000
